Concept	Dutch_Entry	German_Entry	Dutch_Tokens	German_Tokens	Dutch_Sound_Classes	German_Sound_Classes	Cognacy
I	ik	ich	ɪ k	ɪ x	V K	V K	1
account, reckoning	rekening	Rechnung	r eː k ə n ɪ ŋ	r ɛ x n ʊ ŋ	R V K V N V N	R V K N V N	1
air	lucht	Luft	l ʉ x t	l ʊ f t	R V K T	R V P T	1
animal	dier	Tier	d iː r	t iː r	T V R	T V R	1
animal	beest	Tier	b eː s t	t iː r	P V S T	T V R	0
ankle	enkel	Knöchel	ɛ ŋ k ə l	k n œ x ə l	V N K V R	K N V K V R	0
arch	boog	Bogen	b oː x	b oː ɡ ə n	P V K	P V K V N	1
arch	boog	Wölbung	b oː x	v œ l b ʊ ŋ	P V K	W V R P V N	0
armpit	oksel	Achselhöhle	ɔ k s ə l	a k s ə l + h ɶː l ə	V K S V R	V K S V R + H V R V	1
aunt	tante	Tante	t ɑ n t ə	t a n t ə	T V N T V	T V N T V	1
back	rug	rücken	r ʉ x	r ʏ k ə n	R V K	R V K V N	1
bald	kaal	kahl	k aː l	k aː l	K V R	K V R	1
bark	bast	Rinde	b ɑ s t	r ɪ n d ə	P V S T	R V N T V	0
bark	bast	Borke	b ɑ s t	b ɔ r k ə	P V S T	P V R K V	0
barley	gerst	Gerste	x ɛ r s t	ɡ ɛ r s t ə	K V R S T	K V R S T V	1
bean	boon	Bohne	b oː n	b oː n ə	P V N	P V N V	1
beard	baard	Bart	b aː r t	b aː r t	P V R T	P V R T	1
bed	bed	Bett	b ɛ t	b ɛ t	P V T	P V T	1
beech	beuk	Buche	b øː k	b uː x ə	P V K	P V K V	1
beget (of father)	verwekken	zeugen	v ə r + w ɛ k ə	ts ɔy ɡ ə n	W V R + W V K V	K V K V N	0
beggar	bedelaar	Bettler	b eː d ə l aː r	b ɛ t l ə r	P V T V R V R	P V T R V R	1
behind	plaats	Platz	p l aː ts	p l a ts	P R V K	P R V K	1
bend	buigen	beugen	b œy ɣ ə	b ɔy ɡ ə n	P V K V	P V K V N	1
beverage, drink	drank	Getränk	d r ɑ ŋ k	ɡ ə + t r ɛ ŋ k	T R V N K	K V + T R V N K	1
bird	vogel	Vogel	v oː ɣ ə l	f oː ɡ ə l	W V K V R	P V K V R	1
blanket	deken	Decke	d eː k ə	d ɛ k ə	T V K V	T V K V	1
blind	blind	blind	b l ɪ n t	b l ɪ n t	P R V N T	P R V N T	1
blink	knipperen	blinzeln	k n ɪ p ə r ə	b l ɪ n ts ə l n	K N V P V R V	P R V N K V R N	0
blister	blaar	Blase	b l aː r	b l aː z ə	P R V R	P R V S V	0
blood	bloed	Blut	b l uː t	b l uː t	P R V T	P R V T	1
blow	blazen	blasen	b l aː z ə	b l aː z ə n	P R V S V	P R V S V N	1
body	lichaam	Leib	l ɪ x aː m	l ai p	R V K V M	R V P	0
body	lichaam	Körper	l ɪ x aː m	k œ r p ə r	R V K V M	K V R P V R	0
boil (noun)	steenpuist	Furunkel	s t eː m p œy s t	f uː r ʊ ŋ k ə l	S T V M P V S T	P V R V N K V R	0
bone	bot	Knochen	b ɔ t	k n ɔ x ə n	P V T	K N V K V N	0
boot	laars	Stiefel	l aː r s	ʃ t iː f ə l	R V R S	S T V P V R	0
bore	boren	bohren	b oː r ə	b oː r ə n	P V R V	P V R V N	1
bottom	bodem	Boden	b oː d ə m	b oː d ə n	P V T V M	P V T V N	1
bowl	kom	Napf	k ɔ m	n a pf	K V M	N V P	0
bowl	kom	Schale	k ɔ m	ʃ aː l ə	K V M	S V R V	0
boy	jongen	Junge	j ɔ ŋ ə	j ʊ ŋ ə	J V N V	J V N V	1
boy	jongen	Knabe	j ɔ ŋ ə	k n aː b ə	J V N V	K N V P V	0
bracelet	armband	Armband	ɑ r m + b ɑ n t	a r m + b a n t	V R M + P V N T	V R M + P V N T	1
brain	hersenen	Gehirn	h ɛ r s ə n ə	ɡ ə + h ɪ r n	H V R S V N V	K V + H V R N	0
branch	tak	Zweig	t ɑ k	ts v ai k	T V K	K W V K	0
bread	brood	Brot	b r oː t	b r oː t	P R V T	P R V T	1
break	breken	brechen	b r eː k ə	b r ɛ x ə n	P R V K V	P R V K V N	1
breast (of woman)	borst	Brust	b ɔ r s t	b r ʊ s t	P V R S T	P R V S T	1
breathe, breath	ademen	atmen	aː d ə m ə	aː t m ə n	V T V M V	V T M V N	1
brick	baksteen	Backstein	b ɑ k + s t eː n	b a k + ʃ t ai n	P V K + S T V N	P V K + S T V N	1
bridge	brug	Brücke	b r ʉ x	b r ʏ k ə	P R V K	P R V K V	1
bring	brengen	bringen	b r ɛ ŋ ə	b r ɪ ŋ ə n	P R V N V	P R V N V N	1
broken	kapot	gebrochen	k aː p ɔ t	ɡ ə + b r ɔ x ə n	K V P V T	K V + P R V K V N	0
broken	stuk	gebrochen	s t ʉ k	ɡ ə + b r ɔ x ə n	S T V K	K V + P R V K V N	0
bruise	kneuzing	Quetschung	k n øː z ɪ ŋ	k v ɛ tʃ ʊ ŋ	K N V S V N	K W V T V N	0
brush	borstel	Bürste	b ɔ r s t ə l	b ʏ r s t ə	P V R S T V R	P V R S T V	1
build	bouwen	bauen	b ɑu w ə	b au ə n	P V W V	P V V N	1
bull	stier	stier	s t iː r	ʃ t iː r	S T V R	S T V R	1
bull	stier	Bulle	s t iː r	b ʊ l ə	S T V R	P V R V	0
bury (the dead)	begraven	begraben	b ə + ɣ r aː v ə	b ə + ɡ r aː b ə n	P V + K R V W V	P V + K R V P V N	1
bury (the dead)	begraven	beerdigen	b ə + ɣ r aː v ə	b ə + eː r d ɪ ɡ ə n	P V + K R V W V	P V + V R T V K V N	0
butter	boter	Butter	b oː t ə r	b ʊ t ə r	P V T V R	P V T V R	1
butterfly	vlinder	Schmetterling	v l ɪ n d ə r	ʃ m ɛ t ə r l ɪ ŋ	W R V N T V R	S M V T V R R V N	0
buttocks	billen	Gesäß	b ɪ l ə	ɡ ə + z ɛː s	P V R V	K V + S V S	0
button	knoop	Knopf	k n oː p	k n ɔ pf	K N V P	K N V P	1
buy	kopen	kaufen	k oː p ə	k au f ə n	K V P V	K V P V N	1
calf	kalf	Kalb	k ɑ l f	k a l p	K V R P	K V R P	1
calf of leg	kuit	Wade	k œy t	v aː d ə	K V T	W V T V	0
calm (of sea)	kalm	Meeresstille	k ɑ l m	m eː r ə s + ʃ t ɪ l ə	K V R M	M V R V S + S T V R V	0
calm (of sea)	rustig	Meeresstille	r ʉ s t ə x	m eː r ə s + ʃ t ɪ l ə	R V S T V K	M V R V S + S T V R V	0
candle	kaars	Kerze	k aː r s	k eː r ts ə	K V R S	K V R K V	1
carpenter	timmerman	Zimmermann	t ɪ m ə r + m ɑ n	ts ɪ m ə r + m a n	T V M V R + M V N	K V M V R + M V N	1
carry (bear)	dragen	tragen	d r aː ɣ ə	t r aː ɡ ə n	T R V K V	T R V K V N	1
carve	kerven	meißeln	k ɛ r v ə	m ai s ə l n	K V R W V	M V S V R N	0
cast (metals)	gieten	gießen	x iː t ə	ɡ iː s ə n	K V T V	K V S V N	1
catch (ball)	vangen	fangen	v ɑ ŋ ə	f a ŋ ə n	W V N V	P V N V N	1
cattle (bovine)	rund	Rindvieh	r ʉ n t	r ɪ n t + f iː	R V N T	R V N T + P V	1
chair	stoel	Stuhl	s t uː l	ʃ t uː l	S T V R	S T V R	1
change	veranderen	verändern	v ə r + ɑ n d ə r ə	f ɛ r + ɛ n d ə r n	W V R + V N T V R V	P V R + V N T V R N	1
cheek	wang	Wange	w ɑ ŋ	v a ŋ ə	W V N	W V N V	1
chest	borst	Brust	b ɔ r s t	b r ʊ s t	P V R S T	P R V S T	1
chew	kauwen	kauen	k ɑu w ə	k au ə n	K V W V	K V V N	1
chicken	kuiken	Huhn	k œy k ə	h uː n	K V K V	H V N	0
chicken	kuiken	Hühnchen	k œy k ə	h yː n + x ə n	K V K V	H V N + K V N	0
child	kind	Kind	k ɪ n t	k ɪ n t	K V N T	K V N T	1
chimney	schoorsteen	Schornstein	s x oː r + s t eː n	ʃ ɔ r n + ʃ t ai n	S K V R + S T V N	S V R N + S T V N	1
chimney	schoorsteen	Kamin	s x oː r + s t eː n	k a m iː n	S K V R + S T V N	K V M V N	0
chisel	beitel	Meißel	b ɛɪ t ə l	m ai s ə l	P V T V R	M V S V R	0
chop, hew	hakken	zerhacken	h ɑ k ə	ts ɛ r + h a k ə n	H V K V	K V R + H V K V N	1
claw	klauw	Klaue	k l ɑu w	k l au ə	K R V W	K R V V	1
claw	klauw	Kralle	k l ɑu w	k r a l ə	K R V W	K R V R V	0
clay	klei	Ton	k l ɛɪ	t oː n	K R V	T V N	0
clay	klei	Lehm	k l ɛɪ	l eː m	K R V	R V M	0
cliff, precipice	klif	Klippe	k l ɪ f	k l ɪ p ə	K R V P	K R V P V	1
climb	klimmen	klettern	k l ɪ m ə	k l ɛ t ə r n	K R V M V	K R V T V R N	0
cloth	stof	Stoff	s t ɔ f	ʃ t ɔ f	S T V P	S T V P	1
clothing, clothes	kleding	Kleidung	k l eː d ɪ ŋ	k l ai d ʊ ŋ	K R V T V N	K R V T V N	1
cloud	wolk	Wolke	w ɔ l k	v ɔ l k ə	W V R K	W V R K V	1
cold (catarrh)	verkoudheid	Erkältung	v ə r + k ɑu t + h ɛɪ t	ɛ r + k ɛ l t + ʊ ŋ	W V R + K V T + H V T	V R + K V R T + V N	1
collar	kraag	Kragen	k r aː x	k r aː ɡ ə n	K R V K	K R V K V N	1
collarbone	sleutelbeen	Schlüsselbein	s l øː t ə l + b eː n	ʃ l ʏ s ə l + b ai n	S R V T V R + P V N	S R V S V R + P V N	1
collect, gather	verzamelen	sammeln	v ə r + z aː m ə l ə	z a m ə l n	W V R + S V M V R V	S V M V R N	1
comb	kam	Kamm	k ɑ m	k a m	K V M	K V M	1
come back	terugkomen	zurückkommen	t ə r ʉ x + k oː m ə	ts uː r ʏ k + k ɔ m ə n	T V R V K + K V M V	K V R V K + K V M V N	1
copper, bronze	koper	Bronze	k oː p ə r	b r ɔ̃ː s ə	K V P V R	P R V S V	0
corpse	lijk	Leichnam	l ɛɪ k	l ai x + n aː m	R V K	R V K + N V M	1
corpse	lijk	Leiche	l ɛɪ k	l ai x ə	R V K	R V K V	1
cough	hoesten	husten	h uː s t ə	h ʊ s t ə n	H V S T V	H V S T V N	1
count	tellen	zählen	t ɛ l ə	ts ɛː l ə n	T V R V	K V R V N	1
cousin	neef	Vetter	n eː f	f ɛ t ə r	N V P	P V T V R	0
cousin	neef	Kusine	n eː f	k uː z iː n ə	N V P	K V S V N V	0
cousin	nicht	Vetter	n ɪ x t	f ɛ t ə r	N V K T	P V T V R	0
cousin	nicht	Kusine	n ɪ x t	k uː z iː n ə	N V K T	K V S V N V	0
cow	koe	Kuh	k uː	k uː	K V	K V	0
creep, crawl	kruipen	schleichen	k r œy p ə	ʃ l ai x ə n	K R V P V	S R V K V N	0
crop, harvest	oogst	Ernte	oː x s t	ɛ r n t ə	V K S T	V R N T V	0
crow	kraai	Krähe	k r aː j	k r ɛː ə	K R V J	K R V V	1
crush, grind	malen	mahlen	m aː l ə	m aː l ə n	M V R V	M V R V N	1
crush, grind	fijnmalen	mahlen	f ɛɪ n + m aː l ə	m aː l ə n	P V N + M V R V	M V R V N	1
cultivate, till	ontginnen	bebauen	ɔ n t + x ɪ n ə	b ə + b au ə n	V N T + K V N V	P V + P V V N	0
cultivate, till	ontginnen	ackern	ɔ n t + x ɪ n ə	a k ə r n	V N T + K V N V	V K V R N	0
cup, drinking vessel	kop	Tasse	k ɔ p	t a s ə	K V P	T V S V	0
cure, heal	genezen	heilen	x ə + n eː z ə	h ai l ə n	K V + N V S V	H V R V N	0
cut	doorsnijden	schneiden	d oː r + s n ɛɪ d ə	ʃ n ai d ə n	T V R + S N V T V	S N V T V N	1
dance	dansen	tanzen	d ɑ n s ə	t a n ts ə n	T V N S V	T V N K V N	1
dandruff	roos	schuppen	r oː s	ʃ ʊ p ə n	R V S	S V P V N	0
darkness	duisternis	Finsternis	d œy s t ə r + n ɪ s	f ɪ n s t ə r + n ɪ s	T V S T V R + N V S	P V N S T V R + N V S	0
darkness	duisternis	Dunkelheit	d œy s t ə r + n ɪ s	d ʊ ŋ k ə l + h ai t	T V S T V R + N V S	T V N K V R + H V T	0
daughter-in-law (of a man)	schoondochter	Schwiegertochter	s x oː n + d ɔ x t ə r	ʃ v iː ɡ ə r + t ɔ x t ə r	S K V N + T V K T V R	S W V K V R + T V K T V R	1
deaf	doof	taub	d oː f	t au p	T V P	T V P	1
dear (costly, expensive)	duur	teuer	d yː r	t ɔy ə r	T V R	T V V R	1
debt	schuld	Schuld	s x ʉ l t	ʃ ʊ l t	S K V R T	S V R T	1
deep	diep	tief	d iː p	t iː f	T V P	T V P	1
deer	hert	Reh	h ɛ r t	r eː	H V R T	R V	0
destroy	vernietigen	zerstören	v ə r + n iː t ə ɣ ə	ts ɛ r + ʃ t ɶː r ə n	W V R + N V T V K V	K V R + S T V R V N	0
destroy	vernietigen	vernichten	v ə r + n iː t ə ɣ ə	f ɛ r n ɪ x t ə n	W V R + N V T V K V	P V R N V K T V N	1
dew	dauw	Tau	d ɑu w	t au	T V W	T V	1
die, dead	sterven	sterben	s t ɛ r v ə	ʃ t ɛ r b ə n	S T V R W V	S T V R P V N	1
die, dead	sterven	tot	s t ɛ r v ə	t oː t	S T V R W V	T V T	0
dig	graven	graben	x r aː v ə	ɡ r aː b ə n	K R V W V	K R V P V N	1
dinner	diner	Abendessen	d iː n eː	aː b ə n t + ɛ s ə n	T V N V	V P V N T + V S V N	0
dinner	avondeten	Abendessen	aː v ɔ n d + eː t ə	aː b ə n t + ɛ s ə n	V W V N T + V T V	V P V N T + V S V N	1
ditch	sloot	graben	s l oː t	ɡ r aː b ə n	S R V T	K R V P V N	0
divide	verdelen	teilen	v ə r + d eː l ə	t ai l ə n	W V R + T V R V	T V R V N	1
divorce	scheiding	Ehescheidung	s x ɛɪ d ɪ ŋ	eː ə + ʃ ai d ʊ ŋ	S K V T V N	V V + S V T V N	1
divorce	scheiding	Scheidung	s x ɛɪ d ɪ ŋ	ʃ ai d ʊ ŋ	S K V T V N	S V T V N	1
do, make	doen	tun	d uː n	t uː n	T V N	T V N	1
do, make	doen	machen	d uː n	m a x ə n	T V N	M V K V N	0
dog	hond	Hund	h ɔ n t	h ʊ n t	H V N T	H V N T	1
door, gate	deur	Tor	d øː r	t oː r	T V R	T V R	1
dough	deeg	Teig	d eː x	t ai k	T V K	T V K	1
dove	duif	Taube	d œy f	t au b ə	T V P	T V P V	1
dream	dromen	träumen	d r oː m ə	t r ɔy m ə n	T R V M V	T R V M V N	1
drink	drinken	trinken	d r ɪ ŋ k ə	t r ɪ ŋ k ə n	T R V N K V	T R V N K V N	1
drip	druppelen	tropfen	d r ʉ p ə l ə	t r ɔ pf ə n	T R V P V R V	T R V P V N	1
dwell, live	wonen	wohnen	w oː n ə	v oː n ə n	W V N V	W V N V N	1
dye	verven	färben	v ɛ r v ə	f ɛ r b ə n	W V R W V	P V R P V N	1
eagle	adelaar	Adler	aː d ə l aː r	aː d l ə r	V T V R V R	V T R V R	1
earn	verdienen	verdienen	v ə r + d iː n ə	f ɛ r + d iː n ə n	W V R + T V N V	P V R + T V N V N	1
earth, land	land	Erde	l ɑ n t	eː r d ə	R V N T	V R T V	0
earth, land	land	Land	l ɑ n t	l a n t	R V N T	R V N T	1
earth=ground, soil	bodem	Erde	b oː d ə m	eː r d ə	P V T V M	V R T V	0
earth=ground, soil	bodem	Boden	b oː d ə m	b oː d ə n	P V T V M	P V T V N	1
earthquake	aardbeving	Erdbeben	aː r d + b eː v ɪ ŋ	eː r t + b eː b ə n	V R T + P V W V N	V R T + P V P V N	1
eat	eten	essen	eː t ə	ɛ s ə n	V T V	V S V N	1
eat	eten	speisen	eː t ə	ʃ p ai z ə n	V T V	S P V S V N	0
elbow	elleboog	Ellenbogen	ɛ l ə + b oː x	ɛ l ə n + b oː ɡ ə n	V R V + P V K	V R V N + P V K V N	1
every, all	alle	alle	ɑ l ə	a l ə	V R V	V R V	1
extinguish	doven	auslöschen	d oː v ə	au s + l ɶː ʃ ə n	T V W V	V S + R V S V N	0
eyebrow	wenkbrauw	Augenbraue	w ɛ ŋ ɡ + b r ɑu w	au ɡ ə n + b r au ə	W V N K + P R V W	V K V N + P R V V	1
eyelid	ooglid	Augenlid	oː ɣ + l ɪ t	au ɡ ə n + l iː t	V K + R V T	V K V N + R V T	1
eyelid	ooglid	Lid	oː ɣ + l ɪ t	l iː t	V K + R V T	R V T	1
face	gezicht	Gesicht	x ə + z ɪ x t	g e + z ɪ x t	K V + S V K T	K V + S V K T	1
fall	vallen	fallen	v ɑ l ə	f a l ə n	W V R V	P V R V N	1
family	gezin	Familie	x ə z ɪ n	f a m iː l iː ə	K V S V N	P V M V R V V	0
famine	hongersnood	Hungersnot	h ɔ ŋ ə r s + n oː t	h ʊ ŋ ə r s + n oː t	H V N V R S + N V T	H V N V R S + N V T	1
fan (noun)	waaier	Fächer	w aː j ə r	f ɛ x ə r	W V J V R	P V K V R	0
far (adv)	ver	fern	v ɛ r	f ɛ r n	W V R	P V R N	1
farmer	boer	Bauer	b uː r	b au ə r	P V R	P V V R	1
father	vader	Vater	v aː d ə r	f aː t ə r	W V T V R	P V T V R	1
father-in-law (of a man)	schoonvader	Schwiegervater	s x oː n + v aː d ə r	ʃ v iː ɡ ə r + f aː t ə r	S K V N + W V T V R	S W V K V R + P V T V R	1
felt	vilt	Filz	v ɪ l t	f ɪ l ts	W V R T	P V R K	1
female	vrouwelijk	weiblich	v r ɑu w ə + l ə k	v ai p + l ɪ x	W R V W V + R V K	W V P + R V K	0
fence	hek	Zaun	h ɛ k	ts au n	H V K	K V N	0
fence	hek	Gehege	h ɛ k	ɡ ə + h eː ɡ ə	H V K	K V + H V K V	1
field (for cultivation)	veld	Feld	v ɛ l t	f ɛ l t	W V R T	P V R T	1
fig	vijg	feige	v ɛɪ x	f ai ɡ ə	W V K	P V K V	1
fin (dorsal)	vin	Finne	v ɪ n	f ɪ n ə	W V N	P V N V	1
find	vinden	finden	v ɪ n d ə	f ɪ n d ə n	W V N T V	P V N T V N	1
finger	vinger	Finger	v ɪ ŋ ə r	f ɪ ŋ ə r	W V N V R	P V N V R	1
fir	spar	Tanne	s p ɑ r	t a n ə	S P V R	T V N V	0
fire	vuur	Feuer	v yː r	f ɔy ə r	W V R	P V V R	1
fireplace	haard	Herd	h aː r t	h eː r t	H V R T	H V R T	1
firewood	brandhout	Brennholz	b r ɑ n t + h ɑu t	b r ɛ n + h ɔ l ts	P R V N T + H V T	P R V N + H V R K	1
first	eerste	erste	eː r s t ə	eː r s t ə	V R S T V	V R S T V	1
fish	vis	Fisch	v ɪ s	f ɪ ʃ	W V S	P V S	1
fishscale	schub	Schuppe	s x ʉ p	ʃ ʊ p ə	S K V P	S V P V	1
flat	plat	flach	p l ɑ t	f l a x	P R V T	P R V K	0
flat	plat	platt	p l ɑ t	p l a t	P R V T	P R V T	1
flat	vlak	flach	v l ɑ k	f l a x	W R V K	P R V K	1
flat	vlak	platt	v l ɑ k	p l a t	W R V K	P R V T	0
flay, skin	villen	häuten	v ɪ l ə	h ɔy t ə n	W V R V	H V T V N	0
flea	vlo	Floh	v l oː	f l oː	W R V	P R V	1
flesh	vlees	Fleisch	v l eː s	f l ai ʃ	W R V S	P R V S	1
floor	vloer	Fußboden	v l uː r	f uː s + b oː d ə n	W R V R	P V S + P V T V N	0
floor	vloer	Diele	v l uː r	d iː l ə	W R V R	T V R V	0
flow	stromen	fliessen	s t r oː m ə	f l iː s ə n	S T R V M V	P R V S V N	0
fly	vlieg	Fliege	v l iː x	f l iː ɡ ə	W R V K	P R V K V	1
fly (vb)	vliegen	fliegen	v l iː ɣ ə	f l iː ɡ ə n	W R V K V	P R V K V N	1
foal, colt	veulen	Füllen	v øː l ə	f ʏ l ə n	W V R V	P V R V N	1
foam	schuim	Schaum	s x œy m	ʃ au m	S K V M	S V M	1
fog	mist	Nebel	m ɪ s t	n eː b ə l	M V S T	N V P V R	0
fold	vouwen	falten	v ɑu w ə	f a l t ə n	W V W V	P V R T V N	0
follow	volgen	folgen	v ɔ l ɣ ə	f ɔ l ɡ ə n	W V R K V	P V R K V N	1
food	voedsel	Essen	v uː ts ə l	ɛ s ə n	W V K V R	V S V N	0
food	voedsel	Nahrung	v uː ts ə l	n aː r ʊ ŋ	W V K V R	N V R V N	0
foot	voet	Fuß	v uː t	f uː s	W V T	P V S	1
forge	smeden	schmieden	s m eː d ə	ʃ m iː d ə n	S M V T V	S M V T V N	1
fork	mestvork	Gabel	m ɛ s t + f ɔ r k	ɡ aː b ə l	M V S T + P V R K	K V P V R	0
fork (2)	vork	Gabel	v ɔ r k	ɡ aː b ə l	W V R K	K V P V R	0
fowl	kip	Geflügel	k ɪ p	ɡ ə + f l yː ɡ ə l	K V P	K V + P R V K V R	0
