Headword	Dutch_IPA	Dutch_Sound_Classes
wijf	ʋ ɛɪ f	W V P
koren	k oː r	K V R
heem	h eː m	H V M
drinken	d r ɪ ŋ k ə	T R V N K V
boezem	b uː z ə m	P V S V M
staart	s t aː r t	S T V R T
bok	b ɔ k	P V K
mark	m ɑ r k	M V R K
dove	d oː v ə	T V W V
dorst	d ɔ r s t	T V R S T
spoor	s p oː r	S P V R
menen	m eː n ə	M V N V
naam	n aː m	N V M
aarde	aː r d ə	V R T V
houwen	h ɑu ə	H V V
grond	x r ɔ n t	K R V N T
zoeken	z uː k ə	S V K V
hart	h ɑ r t	H V R T
vee	v eː	W V
lijm	l ɛɪ m	R V M
naald	n aː l	N V R
nachtmerrie	m ɛ r	M V R
graven	x r aː v ə	K R V W V
zaak	z aː k	S V K
vechten	v ɛ x t ə	W V K T V
rijden	r ɛɪ d ə	R V T V
zeven	z eː v ə	S V W V
spil	s p ɪ l	S P V R
raaf	r aː f	R V P
helen	h eː l ə	H V R V
kalf	k ɑ l f	K V R P
weduwe	ʋ eː d yː ʋ ə	W V T V W V
gang	x ɑ ŋ	K V N
varen	v aː r ə	W V R V
zwaard	z ʋ aː r t	S W V R T
lever	l eː v ə r	R V W V R
wil	ʋ ɪ l	W V R
berg	b ɛ r x	P V R K
drie	d r iː	T R V
woord	ʋ oː r t	W V R T
maal	m aː l	M V R
grijpen	x r ɛɪ p ə	K R V P V
vallen	v ɑ l ə	W V R V
hoofd	h oː f t	H V P T
leed	l eː t	R V T
bes	b ɛ s	P V S
geloven	l oː v ə	R V W V
winter	ʋ ɪ n t ə r	W V N T V R
bruid	b r œy t	P R V T
spinnen	s p ɪ n ə	S P V N V
schild	s ɪ l t	S V R T
bal	b ɑ l	P V R
nest	n ɛ s t	N V S T
sterven	s t ɛ r v ə	S T V R W V
negen	n eː	N V
tap	t ɑ p	T V P
zalf	z ɑ l f	S V R P
hond	h ɔ n t	H V N T
vos	v ɔ s	W V S
denken	d ɛ ŋ k	T V N K
dank	d ɑ ŋ k	T V N K
strooien	s t r oː ə	S T R V V
vier	v iː r	W V R
speer	s p eː r	S P V R
loog	l oː x	R V K
honing	h oː n ɪ	H V N V
boren	b oː r ə	P V R V
heg	h ɛ x	H V K
geboorte	b oː r t	P V R T
hand	h ɑ n t	H V N T
droom	d r oː m	T R V M
laden	l aː d ə	R V T V
dier	d iː r	T V R
wal	ʋ ɑ l	W V R
spaan	s p aː n	S P V N
duizend	d œy z ə n t	T V S V N T
navel	n aː v ə l	N V W V R
hamer	h aː m ə r	H V M V R
vouw	v ɑu ʋ ə	W V W V
stelt	s t ɛ l t	S T V R T
vorst	v ɔ s t	W V S T
stelen	s t eː l ə	S T V R V
varen	v aː r	W V R
net	n ɛ t	N V T
baar	b aː r	P V R
hulp	h ʉ l p	H V R P
nood	n oː t	N V T
hinde	h ɪ n d ə	H V N T V
hazelaar	h aː z ə l	H V S V R
streng	s t r ɛ ŋ	S T R V N
ruim	r œy m	R V M
breken	b r eː k ə	P R V K V
broek	b r uː k	P R V K
adder	ɑ d ə r	V T V R
zoom	z oː m	S V M
ban	b ɑ n	P V N
lichten	l ɪ x t ə	R V K T V
handelen	h ɑ n d ə l	H V N T V R
knoop	k n oː p	K N V P
bieden	b iː d ə	P V T V
donder	d ɔ n d ə r	T V N T V R
klimmen	k l ɪ m ə	K R V M V
garen	x aː r	K V R
daad	d aː t	T V T
binden	b ɪ n d ə	P V N T V
schouder	s ɑu d ə r	S V T V R
een	eː n	V N
leven	l eː v ə	R V W V
gift	x ɪ f t	K V P T
hoorn	h oː r n	H V R N
naaf	n aː f	N V P
helm	h ɛ l m	H V R M
wagen	ʋ aː ɣ ə	W V K V
beide	b ɛɪ	P V
dief	d iː f	T V P
waden	ʋ aː d ə	W V T V
weder	ʋ eː d ə r	W V T V R
loof	l oː f	R V P
melk	m ɛ l k	M V R K
storm	s t ɔ r m	S T V R M
wapen	ʋ aː p ə	W V P V
os	ɔ s	V S
wassen	ʋ ɑ s ə	W V S V
veld	v ɛ l t	W V R T
woud	ʋ ɑu t	W V T
rook	r oː k	R V K
ding	d ɪ ŋ	T V N
moed	m uː t	M V T
schoffel	s ɔ f ə l	S V P V R
strekken	s t r ɛ k ə	S T R V K V
roest	r uː s t	R V S T
drank	d r ɑ ŋ k	T R V N K
gal	x ɑ l	K V R
geven	x eː v ə	K V W V
haag	h aː x	H V K
maand	m aː n t	M V N T
deeg	d eː x	T V K
knecht	k n ɛ x t	K N V K T
aal	aː l	V R
volk	v ɔ l k	W V R K
dag	d ɑ x	T V K
look	l uː k	R V K
gras	x r ɑ s	K R V S
brand	b r ɑ n t	P R V N T
hooi	h oː	H V
bodem	b oː d ə m	P V T V M
juk	j ʉ k	J V K
sparen	s p aː r ə	S P V R V
lijf	l ɛɪ f	R V P
was	ʋ ɑ s	W V S
bloed	b l uː t	P R V T
tien	t iː n	T V N
jeugd	j øː x t	J V K T
regenboog	r eː ɣ ə	R V K V
krop	k r ɔ p	K R V P
voer	v uː r	W V R
long	l ɔ ŋ	R V N
dille	d ɪ l	T V R
winden	ʋ ɪ n d ə	W V N T V
leem	l eː m	R V M
knie	k n iː	K N V
vader	v aː d ə r	W V T V R
laten	l aː t ə	R V T V
vriezen	v r iː z ə	W R V S V
buigen	b œy ɣ ə	P V K V
boek	b uː k	P V K
zeil	z ɛɪ l	S V R
lijn	l ɛɪ n	R V N
dak	d ɑ k	T V K
voor	v oː r	W V R
tijd	t ɛɪ t	T V T
vlo	v l oː	W R V
sap	s ɑ p	S V P
teek	t eː k	T V K
zwemmen	z ʋ ɛ m ə	S W V M V
mout	m ɑu t	M V T
kauwen	k ɑu ə	K V V
wringen	r ɪ ŋ ə	R V N V
wassen	ʋ ɑ s ə	W V S V
hagel	h aː ɣ ə l	H V K V R
oven	oː v ə	V W V
jaar	j aː r	J V R
vlees	v l eː s	W R V S
boer	b uː r	P V R
been	b eː n	P V N
waken	ʋ aː k ə	W V K V
wonder	ʋ ɔ n d ə r	W V N T V R
zuster	z ʉ s t ə r	S V S T V R
sneeuw	s n eː	S N V
lachen	l ɑ x ə	R V K V
regen	r eː ɣ ə	R V K V
hemel	h eː m ə	H V M V
zwijn	z ʋ ɛɪ n	S W V N
deel	d eː l	T V R
goud	x ɑu t	K V T
koe	k uː	K V
zorg	z ɔ r x	S V R K
vliegen	v l iː ɣ ə	W R V K V
schede	s eː d ə	S V T V
weder	ʋ eː d ə r	W V T V R
worm	ʋ ɔ r m	W V R M
water	ʋ aː t ə r	W V T V R
gebruiken	b r œy k ə	P R V K V
slaan	s l aː n	S R V N
lok	l ɔ k	R V K
beginnen	ɣ ɪ n ə	K V N V
brood	b r oː t	P R V T
zes	z ɛ s	S V S
nek	n ɛ k	N V K
wrat	ʋ r t	W R T
baard	b aː r t	P V R T
dal	d ɑ l	T V R
zitten	z ɪ t ə	S V T V
tang	t ɑ ŋ	T V N
zout	z ɑu t	S V T
vlieden	v l iː ə	W R V V
spar	s p ɑ r	S P V R
hoer	h uː r	H V R
drijven	d r ɛɪ v ə	T R V W V
kit	k ɪ t	K V T
houden	h ɑu d ə	H V T V
stro	s t r oː	S T R V
vis	v ɪ s	W V S
weide	ʋ ɛɪ d	W V T
wesp	ʋ ɛ s p	W V S P
zwaluw	z ʋ aː l	S W V R
schouwen	s ɑu ə	S V V
gans	x ɑ n s	K V N S
buigen	b œy ɣ ə	P V K V
bord	b ɔ r t	P V R T
rijp	r ɛɪ p	R V P
bad	b ɑ t	P V T
vasten	v ɑ s t ə	W V S T V
westen	ʋ ɛ s t ə	W V S T V
ziel	z iː l	S V R
lust	l ʉ s t	R V S T
eten	eː t ə	V T V
hebben	h ɛ b ə	H V P V
haar	h aː r	H V R
dorsen	d r s ə	T R S V
land	l ɑ n t	R V N T
spannen	s p ɑ n ə	S P V N V
stroom	s t r oː m	S T R V M
zuipen	z œy p ə	S V P V
schaap	s aː p	S V P
zenden	z ɛ n d ə	S V N T V
ruk	r ʉ k	R V K
toom	t oː m	T V M
verliezen	l iː z ə	R V S V
stillen	s t ɪ l ə	S T V R V
schijnen	s ɛɪ n ə	S V N V
staf	s t ɑ f	S T V P
vloed	v l uː t	W R V T
steen	s t eː n	S T V N
boog	b oː x	P V K
scheren	s eː r ə	S V R V
bakken	b ɑ k ə	P V K V
lijst	l ɛɪ s t	R V S T
schuiven	s œy v ə	S V W V
helpen	h ɛ l p ə	H V R P V
bidden	b ɪ d ə	P V T V
maken	m aː k ə	M V K V
rogge	r ɔ ɣ ə	R V K V
wol	ʋ ɔ l	W V R
zee	z eː	S V
wezel	ʋ eː z ə l	W V S V R
spreiden	s p r ɛɪ d ə	S P R V T V
kracht	k r ɑ x t	K R V K T
haard	h aː r t	H V R T
dauw	d ɑu	T V
wolf	ʋ ɔ l f	W V R P
herfst	h ɛ r f s t	H V R P S T
nacht	n ɑ x t	N V K T
lap	l ɑ p	R V P
wereld	ʋ eː l t	W V R T
werpen	ʋ ɛ r p ə	W V R P V
zingen	z ɪ ŋ ə	S V N V
macht	m ɑ x t	M V K T
nagel	n aː ɣ ə l	N V K V R
doen	d uː n	T V N
vuur	v yː r	W V R
teken	t eː k ə	T V K V
likken	l ɪ k ə	R V K V
zengen	z ɛ ŋ ə	S V N V
gast	x ɑ s t	K V S T
moeder	m uː d ə r	M V T V R
stam	s t ɑ m	S T V M
bast	b ɑ s t	P V S T
lid	l ɪ t	R V T
raden	r aː d ɛ n	R V T V N
brengen	b r ɛ ŋ ə	P R V N V
afzonderen	s ɔ n d ə r	S V N T V R
doorn	d oː r n	T V R N
willen	ʋ ɪ l ə	W V R V
slapen	s l aː p ə	S R V P V
roer	r uː r	R V R
tong	t ɔ ŋ	T V N
kam	k ɑ m	K V M
treden	t r eː d ə	T R V T V
balg	b ɑ l x	P V R K
vriend	v r iː n t	W R V N T
vinger	v ɪ ŋ ə r	W V N V R
mast	m ɑ s t	M V S T
distel	d ɪ s t ə l	T V S T V R
teen	t eː	T V
linde	l ɪ n d	R V N T
neus	n øː s	N V S
ree	r eː	R V
tuin	t œy n	T V N
leiden	l ɛɪ d ə	R V T V
zeef	z eː f	S V P
barsten	b ɑ r s t ə	P V R S T V
zon	z ɔ n	S V N
vinden	v ɪ n d ə	W V N T V
werf	ʋ ɛ r f	W V R P
borst	b r s t	P R S T
hal	h ɑ l	H V R
wijl	ʋ ɛɪ l	W V R
havik	h aː v ɪ k	H V W V K
vel	v ɛ l	W V R
vlas	v l ɑ s	W R V S
smeren	s m eː r ə	S M V R V
zetten	z ɛ t ə	S V T V
luis	l œy s	R V S
vuist	v œy s t	W V S T
vogel	v oː ɣ ə l	W V K V R
kneden	k n eː d ə	K N V T V
bever	b eː v ə r	P V W V R
schacht	s ɑ x t	S V K T
zomer	z oː m ə r	S V M V R
god	x ɔ t	K V T
weg	ʋ ɛ x	W V K
volgen	v ɔ l ɣ ə	W V R K V
hoef	h uː f	H V P
stoel	s t uː l	S T V R
stok	s t ɔ k	S T V K
slijm	s l ɛɪ m	S R V M
man	m ɑ n	M V N
weven	ʋ eː v ə	W V W V
